Produit,Année financière,Période financière,Code grm,Date,Ligne réception - Qté reçue,Ligne réception - Nbre produits,Format de commande,Ligne réception - Mt
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 3,11003888,2018-06-07,36.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,74.88
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 3,11003888,2018-06-21,24.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,49.92
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 4,11003888,2018-07-04,36.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,74.88
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 4,11003888,2018-07-06,36.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,74.88
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 4,11003888,2018-07-20,24.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,49.92
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 5,11003888,2018-07-25,36.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,74.88
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 5,11003888,2018-07-31,48.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,99.84
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 5,11003888,2018-08-03,36.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,74.88
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 5,11003888,2018-08-13,48.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,99.84
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 6,11003888,2018-08-20,24.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,49.92
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 6,11003888,2018-08-21,36.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,74.88
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 6,11003888,2018-09-06,44.0,1,CA12CH600ML - caisse 12 contenant 600 millilitre,91.52
011003888 - NETTOYANT CORPS/CHEVEUX EXTRA DOUX A/POMPE A/RINCAGE A/FRAGRANCE,2019.0,2019 Per. 6,11003888,2018-09-07,60.0,2,CA12CH600ML - caisse 12 contenant 600 millilitre,124.8
